english,klingon
Farmers buy new seeds every year.,Hoch DIS raS'IS chu' je' wIjwI'pu'.
You need to get some rest.,loQ bIyevnIS.
The sky will remain overcast during the morning.,qaStaHvIS po chal lutlhoDchu'taH 'engmey.
They stole it from you.,tlhIHvo' lunIHpu'.
He took his book.,qapDaj tlhap.
It seems that there is also nobody at home.,juHDaq ghaHtaHlaw' pagh'e'.
What did Tom do last night?,wa'Hu' ram nuq ta' tam?
Tell me a story.,lut HIja'!
The man watches me.,mubej loDvetlh.
I need you to come home right now.,DaH juH DacheghnISqu'.
You have to allow Tom to go.,tlheD tam 'e' Dachaw'nIS.
He unlocked his office door.,yaHDaj lojmIt ngaQHa'moH.
I've never killed nor injured anyone.,not vay' vIHoHpu' qoj vIrIQmoHpu'.
Tom wants to buy Mary a fur coat.,me'rIyvaD veDDIr wep je' neH tam.
She never talks about her childhood.,not naH jajmeyDaj rIch.
"I used to drink a lot of cola, but now I only drink water.","pa'logh qo'la' 'awje' law' vItlhutlhpu', 'ach DaH bIQ neH vItlhutlh."
We will discuss that later.,SIbI'Ha' 'oH vIrIchrup.
I'm looking for the people who are running this hotel.,mebpa'meyvam vu'bogh nuvpu' vInejtaH.
I'm not choosing them.,chaH vIwIvbe'.
Are you afraid of a little girl?,DughIj'a' be'Hom Qup?
I have to do taxes.,'apmey vIDIghnIS.
This is your house.,juH qachraj 'oH.
I had to run to catch the bus.,lupwI' vISIchmeH jIqetnISpu'.
It reminds me of her.,jIHvaD ghaH qawmoH.
Don't talk to strangers.,HujwI'pu'vaD yIjatlhQo'!
"My tooth ached when I had ice cream, so I might have a cavity.","nIm qulcher taD vISoptaHvIS 'oy' Ho'wIj, vaj chaq QemjIq tu'lu'."
Both Tom and I grew up in Australia.,'aSralya'Daq manenchoHpu' tam jIH je.
I'm in prison now.,DaH bIghHa'Daq jIHtaH.
We have something for them.,chaHvaD vay' wIghaj.
Why are you home?,qatlh juHDaq tlhIHtaH?
Tom and Mary showed their schedule to me.,Deryatchaj mu'ang tam me'rIy je.
It's going to be hot tomorrow.,wa'leS tuj muD Dotlh.
It's me Tom has a problem with.,tamvaD jIqay' jIH'e'.
Music from my home makes me cry.,muSaQmoH juHwIj QoQ.
I immediately stopped laughing.,jIHagh SIbI' 'e' vImev.
That is the book I want to read.,paqvam'e' vIlaD vIneH.
Why do you ask that?,qatlh Daghel?
Tom was once a translator.,pa'logh mughwI' ghaHpu' tam'e'.
Do you know the meaning of this word?,mu'vam jIyweS boSov'a'?
Tom thinks that Mary will do that tomorrow.,wa'leS 'oH tur me'rIy 'e' Qub tam.
Tom thinks I'm dead.,jIHeghpu' 'e' Qub tam.
I have almost finished War and Peace.,tlhoS «veS roj je» vIlaDta'.
Everyone ignored us.,nubuSHa' Hoch.
Arrogant people are often mean.,pIj qej 'eDjenpu'.
How old are Tom and Mary now?,ben 'ar boghpu' tam me'rIy je?
It's vitally important.,potlhqu'bej.
Count me in!,jIjeSrupbej!
I don't have plans.,nabmey vIghajbe'.
You're only deceiving yourself.,bItoj'eghtaH neH.
My parents shall be proud of me.,jIHmo' Hembej qaytu'pu'wI'.
Tom walks like he's an old man.,yIttaHvIS tam qanwI' rur.
It seems that Jeff knows who she is.,ghaH ghovlaHlaw' jev.
Tom could be hurt.,chaq rIQ tam.
Didn't you call Tom?,tam DarI'pu'be''a'?
"We're saying ""Thank you"" to the great King.",voDleH DunvaD «pItlho'neS» majatlh.
Tom will be here in a few minutes.,'op tup pIq paw tam.
I wish I were a good singer.,bomwI' QaQ jIH 'e' vIjIn.
"You fired Mary, didn't you?",me'rIy DaSughHa'ta' qar'a'?
Don't ask any more questions.,yIghelqa'Qo'!
Tom has one son and two daughters.,"wa' puqloD, cha' puqbe' je ghaj tam."
"Mary isn't so beautiful, but she has a great personality.","'IHqu'be' me'rIy, 'ach loy'qu'bej."
Pigs are very smart.,valqu' Suy'.
Who'll take care of the dog while we're away?,qovIj Qorgh 'Iv maDachtaHvIS?
We met them by accident at the bus terminal.,bong lupwI' mangghaDaq maghompu'.
I'll stay here.,naDev jIratlh.
Tom knew that Mary was dead.,Heghpu' me'rIy 'e' Sov tam.
Suddenly my computer stopped working.,pay' Qap 'e' mev De'wI'wIj.
Mary can stay if she wants to.,ratlhlaH me'rIy neHchugh.
Stop for a moment.,loQ yImev!
Tom assumed everybody in the room knew that Mary couldn't understand French.,vIraS Hol yajlaHbe' me'rIy 'e' luSov pa'vamDaq chaHtaHbogh Hoch'e' 'e' pIH tam.
I can't find Tom. I've looked everywhere.,tam vISamlaHbe'. Dat jInejpu'.
Why do you keep lending money to Tom?,qatlh tamvaD Huch DanojtaH?
Why can't you find the hospital?,qatlh ropyaH qach boSamlaHbe'?
You're not an idiot.,qoH SoHbe'.
Tom and Mary are on their way back here.,naDev lucheghlI' tam me'rIy je.
"To be honest, I disagree with you.","jIyuDHa'chugh, cha' DoSmey DIqIp."
"When I pressed the button, the bell rang.",leQ vI'uy'DI' tlhen 'In.
Today we are going to study the verbs “ser” and “estar”.,DaHjaj wotmey «ser» «estar» je DIHaD.
What are the children doing? Are they sleeping or playing?,nuq luturtaH puqpu'? Qong'a'? reH'a'?
I haven't smoked for ages.,"qaStaHvIS DISmey law', tlhIch vIpurbe'."
Is he accusing us?,nupum'a'?
Tom thinks that Mary is ugly.,moH me'rIy 'e' Qub tam.
Tom is unlikely to get married.,ghaytanHa' tlhogh tam.
"Can you pass me the salt, please? ""Where is it? I can't see here."" ""It's behind the bottle."" ""Oh, yes. I've found it.""","«jIHvaD qut na' yInob!» «nuqDaq 'oHtaH? vIleghlaHbe'.» «bal 'emDaq 'oHtaH.» «toH, bIlugh. vItu'.»"
I'm definitely falling in love.,vay' vIparHa'choHbejlI'.
It's a robot.,qoq 'oH.
It's a very old picture.,mIllogh ngo'qu' 'oH.
I am eating a banana.,banan naH vISoptaH.
She works hard and never complains.,pe'vIl vum 'ej not bep.
Tom and Mary will likely never see each other again.,ghaytan leghchuqqa'be' tam me'rIy je.
"Tom didn't tell Mary, did he?","me'rIy ja'be'pu' tam, qar'a'?"
Tom goes to church every Sunday morning.,Hoch jaj wa' po chIrgh jaH tam.
"Mary wanted to go, but she couldn't.","ghoS neH me'rIy, 'a ghoSlaHbe'."
It arrived today.,DaHjaj paw.
Tom can't find his watch.,tlhaqDaj SamlaHbe' tam.
The custom comes from China.,jungwoq 'oH tIghvam mung'e'.
There is a large fly in the room.,pa'Daq ghew tIn tu'lu'.
He isn't like me.,mururbe'.
Let's fall in love.,mamuSHa'chuqchoHjaj!
"You're not joking, are you?",bIqIDbe' qar'a'?
"Tom is with his friends, isn't he?",juppu'Daj tlhejtaH qar'a' tam?
Good thing she came back.,Do' cheghta'.
They eat meat very rarely.,pIjHa' Ha'DIbaH luSop.
I just hope Tom and Mary are fine.,pIv tam me'rIy je 'e' vItul neH.
"Tom has questions, too.",ghel neH je tam.
Tom isn't really sure yet.,wej Sovchu' tam.
What was the plan?,nab yIngu'!
What was the plan?,nuq 'oHpu' nabvetlh'e'?
"Who is she? ""She is my mother.""",«'Iv ghaH?» «SoSwI' ghaH.»
Tom leaves in a few days.,'op leS mej tam.
Tom thought Mary might kiss John.,chaq jan chop me'rIy 'e' Qub tam.
Where did Tom get that?,nuqDaq Dochvetlh Hevpu' tam?
I won't let Tom go to Australia.,'aSralya' jaH tam 'e' vIchaw'Qo'.
I can't take Tom's money.,tam Huch vItlhaplaHbe'.
Love has blinded you.,Duleghbe'moHpu' parmaq.
"But for my brother's help, I would have drowned.","muQaHbe'pu' loDnI'wI' net jalchugh, vaj jIvIQbejpu'."
Tom and Mary aren't used to the food here.,naDev Soj lubItlhbe' tam me'rIy je.
"Tom and Mary are both very nervous, aren't they?",bItqu' qar'a' tam me'rIy je?
There's nothing in there.,qoDDaq pagh tu'lu'.
Does Tom stay with you when he's in Australia?,"juHlIjDaq ratlh'a' tam, 'aSralya'Daq ghaHtaHvIS?"
I read a French book.,vIraS Hol paq vIlaDpu'.
"It's good, but it's not good enough.","QaQ, 'a yapbe'."
Tom finally arrived at 2:30.,tagha' cha'vatlh wejmaH rep paw tam.
You don't look like you're happy.,bIQuchbe'law'.
We're nearly finished.,tlhoS wIta' rIntaH.
I've decided not to leave.,jImejbe' 'e' vIwuq.
Is it far away?,Hop'a'?
"Yes, I love it.","HISlaH, vImuSHa'."
I want to sit down.,jIba'choH vIneH.
I won't let him interfere.,nIS ghaH 'e' vIchaw'Qo'.
Tom was rejected.,tam lajQo'lu'pu'.
Tom disappointed Mary.,me'rIy belHa'moH tam.
The large flower is blue.,SuD 'InSong tIn.
What is knowledge?,nuq 'oH Sov'e'?
"As I make my coffee, anxiety assails me, because I think about tomorrow.",qa'vIn vIvuttaHvIS jIQepqu'choH wa'leS vIbuSmo'.
What school do you go to?,DuSaQlIj yIngu'!
Let Mary buy what she wants.,Dochmey neHbogh je' me'rIy 'e' yIchaw'!
"Don't tell me, tell Tom.","HIja'Qo', tam yIja'!"
Tom has hit me.,muqIppu' tam.
We like our job.,Qu'maj wIparHa'.
I think I'm pretty good at French.,vIraS Hol vIjatlhlaHqu' 'e' vIQub.
I don't need your help right now.,DaH QaHlIj vIpoQbe'.
I wish school would disappear forever!,ngabchu' rIntaH DuSaQ 'e' vIjIn.
Does Tom swim every day?,Hoch jaj Qal'a' tam?
I didn't realize that you were awake.,bIvempu' 'e' vItlhojbe'.
While looking at the flowers I thought suddenly that humans too had a good side. It's humans who discovered the beauty of flowers and it's also humans who can appreciate them.,'InSongmey vIbejtaHvIS pay' jIHIt: 'ay' QaQ ghaj je Human. 'IH 'InSongmey 'e' lutu' Humanpu''e' 'ej bIH Ho'laH Humanpu''e'.
She's not confident.,baw'be'.
"Tom doesn't really know, does he?","Sovchu'be' tam, qar'a'?"
Let's step inside.,"Ha', ma'el."
Are those your kids?,puqpu'ra' chaH'a'?
Please pay at this counter.,raSvamDaq yIDIl!
Tom returned from the kitchen carrying a pot of coffee.,vutpa'vo' chegh tam 'ej qa'vIn HIvje' qeng.
I object to her going there alone.,"nIteb pa' jaHmo' ghaH, jIbep."
I wish you would reconsider.,bIqelqa' 'e' vIjIn.
I'm not saying that you're ignorant.,bIjIv jIjatlhbe'.
I think I'll help Tom out.,tam vIboQrup 'e' vIQub.
Eat it with your fingers.,SuSopmeH nItlhDu'raj tIlo'!
Eat it with your fingers.,bISopmeH nItlhDu'lIj tIlo'!
The school is only a five-minute walk.,DuSaQ ghoSlu'meH vagh tup neH lIDnISlu'.
We forgot to buy cake!,chab wIje'nISpu' 'e' wIlIj!
I think that Tom is arrogant.,nguq tam 'e' vIQub.
Please come on the twentieth.,jaj cha'maHDIch yIpaw!
Do I have to change planes in London?,lanDanDaq latlh muD Duj vItIjnISchoH'a'?
Me without you is like a body with no soul.,"SoH qaHutlhchugh jIH, qa' Hutlhbogh porgh'e' vIrur."
"If you say that to your mother, she'll kill you!",SoSlI' Daja'chugh DuHoHbej!
Tom was really trying to help.,QaH 'e' nIDqu'bej tam.
I don't think that Tom understands French.,vIraS Hol yaj tam 'e' vIQubbe'.
Tom brought Mary some water.,me'rIyvaD bIQ qem tam.
My camera is much better than his.,loQHa' mIllogh qonwI'wIj QaQ law' mIllogh qonwI'Daj QaQ puS.
That incident changed Tom's life.,tam yIn choHpu' wanI'vetlh.
Tom is just a teenager.,HojnIy ghaH neH tam'e'.
Why aren't Tom and Mary doing something?,qatlh vangbe' tam me'rIy je?
She's Argentinian.,'arHentInya'ngan ghaH.
We've written to them.,chaHvaD maghItlhta'.
A teacher must not laugh about a pupil who has made a mistake.,Qaghbogh ghojwI' nuSbe'nIS ghojmoHwI'.
We haven't bought any bread.,tIr ngogh wIje'be'pu'.
Let's have lunch here.,naDev megh wISopjaj.
I'd like to do something else.,jaS jIvang vIneH.
The boat was clean.,Say' bIQ DujHom.
"Our teacher said: ""Of course you can.""",jatlh ghojmoHwI'ma': «'e' vIchaw' net Sov.»
"Yesterday, I bought a book.",wa'Hu' paq vIje'ta'.
"The moon isn't hollow, Tom.","woDbe' maS, tam."
He cares about his health.,pIvtaHghachDaj Qorgh.
"He's somewhat hard of hearing, so please speak louder.","loQ QoylaHchu'be', vaj pe'vIl yIjatlh!"
Tom won't be able to solve the problem alone.,nIteb SengHa'laHbe' tam.
Tom was interrogated for three hours.,qaStaHvIS wej rep tam yu'lu'taH.
I have known her for years.,qaStaHvIS vagh DIS vISov.
Tom didn't want anybody to know that he couldn't understand French.,vIraS Hol yajlaHbe' 'e' Sov pagh neH tam.
I forgot that.,vIlIjpu'.
They call each other names.,tIchchuq.
Where did you take your socks off?,nuqDaq paSloghlIj DatuQHa'moHpu'?
I wouldn't like being a judge.,"noHwI' jIH net jalchugh, ghaytan ghu'vam vIpar."
Not all of those men are doctors.,Qel chaHbe' loDpu'vetlh Hoch'e'.
Help is still needed.,QaH poQlu'taH.
I wasn't permitted to see her.,vIlegh net chaw'be'.
I'm not going alone.,nIteb jItlheDQo'.
Absolutely meaningless; everything is meaningless.,potlhbe'chu'; potlhbe' Hoch.
Who is more intelligent?,'Iv val law' latlh val puS?
Both your brothers are teachers.,ghojmoHwI'pu' chaH cha' loDnI'lI''e'.
The rumor may or may not be true.,chaq teH joSvam; chaq teHbe'.
Mary looks like she's frustrated.,moghlaw' me'rIy.
I listen to what Tom tells me.,mu'mey'e' muja'bogh tam vI'Ij.
I don't want any help.,QaH vIneHbe'.
I think that maybe Tom and I could be friends.,chaq jup DImojlaH tam jIH je 'e' vIQub.
Does anyone really believe that?,Harchu''a' vay'?
I didn't expect you to come in today.,DaHjaj nughoS 'e' vIpIHbe'.
I'm not willing to do that.,'oH vIturqangbe'.
Dad is older than mom.,vavoy qan law' SoSoy qan puS.
I don't know what this is.,Dochvam vIngu'laHbe'.
We're untalented.,re'lIgh wIHutlh.
Scratch my back.,DubwIj yIlot!
Tom might leave early.,'eqtaHvIS chaq mej tam.
Isn't this illegal?,Hatbe''a'?
She put something in her mouth.,nujDajDaq vay' vev.
I read a very interesting novel yesterday.,wa'Hu' maghpub Dajqu' vIlaDta'.
Maybe you're right.,chaq bIlugh.
Perhaps you're right.,chaq bIlugh.
Maybe you guys are right.,chaq Sulugh.
"Without a doubt, you're right.",bIlughbej.
I got up at six-thirty this morning.,po javvatlh wejmaH rep jIHu'.
Tom has gotten remarried.,tlhoghqa'pu' tam.
Many dog owners only feed their dogs once a day.,qaStaHvIS wa' jaj wa'logh neH qovIjDaj je' ghajwI' law'.
I thought that Tom lived in Australia.,'aSralya' Dab tam 'e' vIHar.
This is a very bad idea.,qech qabqu' 'oH.
When will you get ready to leave?,ghorgh bImejrupchoH?
Tom still hasn't kissed me.,wej muchop tam.
Tom has short hair now.,DaH tIqHa' tam jIb.
I often attend conferences.,qaStaHvIS qep'a' pIj jIjeS.
We don't want her.,wIneHbe'.
We don't want her.,ghaH wIneHbe'.
It's not bad luck if it always happens.,Do'be' reH qaSchugh.
You aren't working hard.,pe'vIl Suvumbe'.
I understand no one wants to help us.,nuQaH neH pagh 'e' vIyaj.
Look at that Japanese car.,nIpon puH Dujvetlh yIbej!
It's time to confess.,qaSchoH chIDmeH poH.
Tom repaired the broken radio.,wab HevwI' Duy' tI'ta' tam.
Tom always wants everything.,reH Hoch neH tam.
"After the lightning, came the thunder.",rawpu'DI' tuD.
Tom can't buy Mary what she wants.,me'rIyvaD Dochmey neHbogh je'laHbe' tam.
Tom's paper is better than mine.,tam ghItlh QaQ law' ghItlhwIj QaQ puS.
Rays of sunlight are passing through the leaves.,por 'aw jul tamghay tIHmey.
I am listening to the Spanish radio.,'eSpanya' wab HevwI' vI'IjtaH.
She got down on her knees.,torchoH.
"If Tom is still inside the house, then he's probably safe.","qachDaq ghaHtaHchugh tam, vaj ghaytan Qobbe' ghu'."
Please tell us about yourselves.,SurIch'egh!
He is a bright student.,ghojwI' SIj ghaH.
He studies hard.,pe'vIl ghoj.
I think Tom and Mary are too young.,tlhoy Qup tam me'rIy je 'e' vIQub.
It's raining and raining.,SIStaHqu'.
"Where's my hat? ""Right behind you.""",«nuqDaq 'oHtaH mIvwIj'e'?» «SoH 'emDaq 'oHtaH.»
"You don't really understand, do you?",bIyajchu'be' qar'a'?
It's none of our business.,yISaHQo'!
You are so lucky to live here.,naDev DaDabmo' bIDo'qu'.
"Hey, you're not Tom.","va, tam SoHbe'."
He examined the feather.,bo nuD.
The mirror is very dirty.,lamqu' SIla'.
Don't go there now.,DaH pa' yIghoSQo'!
Don't make any noise because I am ill.,wab yItlhenQo' jIropmo'.
I love teaching kids Spanish!,puqpu'vaD 'espanya' Hol vIghojmoH 'e' vImuSHa'!
Tom often lets me use his car.,puH DujDaj vIlo' pIj 'e' chaw' tam.
I won't move.,jIvIHQo'.
I won't move.,latlh Daq vIDabchoHQo'.
There's no reason to change this.,ghu'vam choHmeH meq tu'lu'be'.
This car was made in Germany.,DoyIchlanDaq puH Dujvam chenmoHlu'.
Mary looked like she was guilty.,DIvlaw' me'rIy.
Mary thinks she's a genius.,wIgh ghaH 'e' Qub me'rIy.
I think Tom wants Mary's job.,me'rIy Qu' neH tam 'e' vIQub.
She is active.,ghan.
"Tom is learning French, but he still isn't able to speak it very well.","vIraS Hol ghojtaH tam, 'ach jatlhlaHqu'be'taH."
I think that you shouldn't have called Tom.,tam DarI'be'nISpu' 'e' vIHar.
The turtle's asleep.,QongtaH la'SIv.
Why did you back away?,qatlh bIDoHpu'?
Don't you know that everybody is talking about us?,nurIch Hoch 'e' DaSovbe''a'?
Tom is doing that wrong.,vangHa' tam.
I went inside to drink coffee.,qa'vIn vItlhutlhmeH qoD vI'el.
Her sons are in the garden.,Du'HomDaq chaHtaH puqloDpu'Daj'e'.
I've never stolen anything from you.,not SoHvo' vay' vInIHpu'.
Everything that Tom told me about Mary was true.,teH me'rIy bopbogh De' Hoch'e' 'ej muja'pu'bogh tam.
I was surprised at the news.,mumer De' chu'.
"She married Tom, not me.",tam nayta'. jIH munayta'be'.
He patiently waited for her.,tuvtaHvIS ghaH loS.
I'm Chinese.,jungwoqngan jIH.
Who owns the Internet?,'Internet ghaj 'Iv?
I had the same math teacher for two years.,qaStaHvIS cha' DISmey mI'QeD ghojmoHwI' rap vIghaj.
"And he stayed yet other seven days: and he sent forth the dove, which returned not any more unto him.","'ej qaStaHvIS Soch jajmey veb ratlhtaH: 'ej yatqap puvmoH, 'ach ghaH cheghbe'."
Tom didn't seem motivated.,vawbe'law' tam.
I feel like speaking French today.,DaHjaj vIraS Hol vIjatlh vIneH 'e' vIjem.
"It's a strange hobby, but I enjoy it.","bel Qu' jum 'oH, 'ach vItIv."
I'm almost glad I don't have a girlfriend.,bang vIghajbe'mo' tlhoS 'e' jIQuch.
What's Tom going to think now?,DaH nuq Qub tam?
Tom didn't give Mary a hug.,me'rIy ghepbe'pu' tam.
Tom's idea is better than yours.,tam qech QaQ law' qechlIj QaQ puS.
How many cats is too many?,'Iq vIghro' 'ar?
He did not enter or exit.,'elbe' 'ej mejbe'.
She called back.,rI'qa'ta'.
Tom speaks French with his mother and English with his father.,SoSDajvaD vIraS Hol jatlh tam 'ej vavDajvaD DIvI' Hol jatlh.
The boy took the radio apart.,wab HevwI' lagh loDHom.
You're my friend.,jupwI' SoH.
You are my friend.,jupwI' SoH.
Life does not repeat its gifts.,nobmeyDaj noqba'be' yIn.
Will you turn on the light?,wovmoHwI' yIchu'!
What brought you to Boston?,qatlh baStan DaghoSpu'?
"I didn't go to my classes. ""How come?""",«ghojmeH mIwmeywIj vISuchbe'.» «qaSpu' nuq?»
Tom realized Mary wasn't happy.,Quchbe' me'rIy 'e' tlhoj tam.
It was drizzling this morning.,DaHjaj po loQ SIS.
He repeated his question.,ghelqa'.
I thought that you'd be here by 2:30.,naDev bIpaw qaSpa' cha'vatlh wejmaH rep 'e' vIQub.
"Is your wife Canadian, too?",qa'naDa'ngan ghaH'a' je be'nallI''e'?
Tom must be dead.,Heghlaw'pu' tam.
I'll show you mine if you show me yours.,"DochwIj qa'ang, DochlIj cho'angchugh."
Tom couldn't believe what had just happened.,'eQ qaSpu'bogh wanI' HarlaHbe' tam.
Sami was alone in the house.,nIteb qachDaq ghaHtaH Sa'mIy'e'.
Tom doesn't want to hear this.,De'vam Qoy neHbe' tam.
"We're stuck. ""What do you mean 'we'?""",«maSat maH.» «qatlh ‹maH› bIjatlh?»
I will never talk to you about my sister-in-law again.,not SoHvaD loDnalwI' be'nI' vIrIchqa'.
Tom walked home.,juH cheghmeH yIt tam.
Tom can probably take care of himself.,ghaytan Qorgh'eghlaH tam.
It's been raining hard all morning.,qaStaHvIS po naQ SISqu'taH.
It's very unlikely that you'll ever see a horse around here.,ghaytanHa' naDev Sargh leghlu'.
He started to learn Spanish from the radio.,wab HevwI'vo' 'eSpanya' Hol ghojchoH.
I lived in São Paulo for eleven years and in Brasilia for thirty-four years.,qaStaHvIS wa'maH wa' DIS Sawpaw'lu vIDabpu' 'ej qaStaHvIS wejmaH loS DIS bIraSIlya' vIDabpu'.
Do you want to say anything?,vay' Dajatlh DaneH'a'?
When did the concert start?,ghorgh taghpu' QoQ muchvam?
Let's hope Tom doesn't find out.,tu'be' tam net tuljaj.
Tom warmed up the milk.,nIm tujmoH tam.
Most Americans can speak English.,DIvI' Hol jatlhlaH HochHom 'amerI'qa' SepjIjQa'nganpu'.
You have to get up.,bIHu'nIS.
Where did Tom get this info?,nuqDaq De'vam Suq tam?
Tom is complaining.,bep tam.
They won't let you in.,bI'el 'e' luchaw'be'bej.
I'm tired of my kids crying.,SaQtaHmo' puqpu'wI' jIpuQ.
How many schools are there in your city?,venglIjDaq DuSaQ 'ar tu'lu'?
The men are all asleep.,QongtaH Hoch loDpu'.
The pith of an orange is rather bitter.,loQHa' wIb tera' na'ran naH SuqSIv.
"You hate secrets, don't you?",peghmey DamuS qar'a'?
You haven't shown up in two years.,qaStaHvIS cha' DIS bIHIl'eghbe'.
Mow the lawn.,magh yotlh yIchIp!
This city is in France.,vIraSDaq 'oH vengvam'e'.
What happened in Boston wasn't your fault.,baStanDaq qaSpu'bogh wanI'mo' pIch Daghajbe'.
How will you get home?,chay' juH Dachegh?
I just saw your photos.,'eQ mIlloghmeyraj vIlegh.
Tom is a teacher of French.,vIraS Hol ghojmoHwI' ghaH tam'e'.
Why do we want to colonize Mars?,marISDaq mID wIcher qatlh wIneH?
There's no smoke without fire.,qul Hutlhbogh tlhIch tu'lu'be'.
Yesterday it rained hard.,wa'Hu' SISqu'.
Do you think I want to die?,jIHegh vIneH 'e' DaQub'a'?
"It's raining horribly hard. You didn't get wet? ""No, I'm okay.""","«SISqu'bej jay'. bIyIQchoHbe''a'?» «ghobe', qay'be'.»"
Tom decided not to speak French to Mary anymore.,me'rIyvaD vIraS Hol jatlhbe'choH 'e' wuq tam.
Tom didn't want justice. He wanted revenge.,ruv neHbe' tam. bortaS neH.
My mother feeds the dog.,qovIj je' SoSwI'.
She's probably just waiting for you to apologize.,bItlhIj SoH ghaytan 'e' loS neH.
An argument ensued and he slit her throat.,jopchoH 'ej way'choH ghIq HughDaj SIj.
Are your eyes bad?,QIv'a' mInDu'lIj?
I'm sorry that I opened my mouth.,nujwIj vIpoSmoHpu'mo' jIQoS.
Tom is limping a little.,loQ rIgh tam.
Nobody has a soul.,qa' ghaj pagh.
No one has a soul.,qa' ghaj pagh.
All countries are fake.,ngeb Hoch Sepmey.
I know this girl.,be'Homvam vISov.
He ate my lunch.,meghwIj Soppu' ghaH.
Who told you Tom was in Boston?,Dujatlh 'Iv baStanDaq ghaHtaH tam'e'?
This TV set is mine.,HaSta jIHvam'e' vIghaj jIH.
She kicked him.,pup.
Sami went straight to his computer to chat.,jawmeH De'wI'Daj ghoSchu' Sa'mIy.
Could you tie it with a ribbon?,DabaghmeH qoSta' Dalo'laH'a'?
They hired me.,mugheSmoHpu'.
Tom saw that someone had written his name on the wall.,tlhoy'Daq pongDaj ghItlhpu' pagh 'e' legh tam.
Mary never forgave herself.,not qeHHa''eghpu' me'rIy.
I need to go to the library.,paq nojwI' qach vIghoSnIS.
Mary said she couldn't swim.,jatlh me'rIy jIQallaHbe'.
Mary said she couldn't swim.,jatlh me'rIy QallaHbe'.
Mary said she couldn't swim.,jIQallaHbe' jatlh me'rIy.
Mary said she couldn't swim.,QallaHbe' jatlh me'rIy.
Mary said she couldn't swim.,QallaHbe' ghaH jatlh me'rIy.
Mary said she couldn't swim.,jatlh me'rIy QallaHbe' ghaH.
Is Tom working now?,DaH vumtaH'a' tam?
Put the eggs into the boiling water.,pubbogh bIQDaq QImmey tIlan!
Are you and Tom both drunk?,Suchech'a' SoH tam je?
I'd like to do things properly.,jIvangchu' 'e' vImaS.
Is the road good?,QaQ'a' taw?
I can't believe it. Seems so unreal.,vIHarlaHbe'. DI'ruj rurbe'law'.
That's what happens when you don't read the instructions.,qaSbej wanI'vetlh HIl'aD laDbe'lu'chugh.
Mary brings us gifts whenever she visits.,reH nobmey nunob me'rIy nuSuchDI'.
Nicolaus Copernicus was born in Poland in 1473.,tera' DIS 1473 po'lISqa'Daq boghpu' nIqlaS qopernIq.
Who was Confucius?,qong pIn'a' 'Iv?
They built a house made of wood.,Sor Hap yughbogh qach luchenmoH.
We'd be happy if you could come with us.,jutlhejlaHchugh maQuch.
How much will we need to pay?,Huch 'ar wInobnIS?
Have you been crying?,bISaQpu''a'?
I didn't need to stay.,jIratlhnISbe'.
"He doesn't work here now, but he used to work here.","DaH naDev vumbe' ghaH, 'ach naDev vumpu'."
Mary takes good care of her horse.,SarghDaj Qorghqu' me'rIy.
The plane that Tom is on could be late.,chaq paS muD Duj'e' tIjpu'bogh tam.
Sami sat down right next to me.,jIH retlhDaq ba'choH Sa'mIy.
"That's much, much better.",nIvqu'bej.
Tom said that Mary went to Australia.,jatlh tam 'aSralya' jaHta' me'rIy.
Tom certainly thinks he's clever.,val 'e' Qubbej tam.
He watches television every night.,Hoch ram HaSta jIH bej.
That scares me.,mughIj.
"If you raise an eyebrow, it can mean ""I want to have sex with you"", but also ""I find that what you just said is completely idiotic.""","wa' Huy' DawanHa'chugh, «manga'chuq vIneH» ghaSlaH Sawlayvam, 'a «laqlaq 'oHbej mu'meylIj'e'» ghaSlaH je."
I know that Tom can swim.,QallaH tam 'e' vISov.
Yours is larger than mine.,DochlIj tIn law' DochwIj tIn puS.
"They want to say yes, but they can't.","HIja' jatlh luneH, 'ach jatlhlaHbe'."
Tom went on reading.,laDtaH tam.
Food is too expensive.,tlhoy wagh Soj.
Have you spoken with her?,ghaHvaD Dajatlhpu''a'?
I thought that Tom was already back.,wejHa' cheghpu' tam 'e' vIQub.
We're all different.,mapIm Hoch.
This is a picture of my school.,DuSaQwIj mIlloD 'oH.
He loves himself.,muSHa''egh.
Tom is eager to go to Boston.,baStan jaHqangqu' tam.
That should work.,ghaytan Qap.
They're melting!,lutetlu'lI'!
Doesn't seem like it.,teHbe'law'.
Do you know those children?,puqpu'vetlh DaSov'a'?
I want both those and these.,Dochmeyvetlh Dochmeyvam je vIneH.
I am writing a letter now.,DaH nav QIn vIghItlhlI'.
I can go to Boston next week.,Hogh pIq baStan vIjaHlaH.
Red meat is a high-protein food.,maHnaD law' ghajbogh Soj 'oH Ha'DIbaH Doq'e'.
He slept for weeks.,qaStaHvIS Hoghmey QongtaH.
There are few passengers on this train.,lupwI' mIrvamDaq puS raQpo'.
Aren't you going to tell Tom?,tamvaD Daja'be''a'?
Have you seen my camera?,mIllogh qonwI'wIj Dalegh'a'?
I wish I had had a camera then.,ngugh mIllogh qonwI' vIghaj 'e' vIjIn.
Tom enjoys reading.,laD 'e' tIv tam.
I often read books.,pIj paqmey vIlaD.
Tom won't stay here.,naDev ratlhbe'bej tam.
My mother is very pretty.,'IHqu' SoSwI'.
